	Student name	PC 1	PC 2
0	stu_000d56dbbb	-0.059752819147	-0.00078060859368
1	stu_0018382601	0.0160135950491	-0.00908261531021
2	stu_002821e04e	-0.0241004950056	-0.00585910788453
3	stu_003f10a343	-0.0262825884583	0.00415892744187
4	stu_004a3f900a	0.00490704076467	-0.00470049827364
5	stu_005356c317	0.113572132618	-0.0469190237426
6	stu_006f0c70e8	-0.0160714768494	-0.0125172739599
7	stu_0093565412	-0.0314255349262	0.00547995028558
8	stu_009a841e6b	-0.0974518392654	-0.00763463611554
9	stu_00ae9c94a7	-0.134475668162	-0.00363085588503
10	stu_00eb9c4fe6	0.118520659788	-0.0294243822816
11	stu_00f8350558	0.10791999823	-0.0467118734956
12	stu_0105952e3f	-0.0194465580327	0.00415827672626
13	stu_010770adfb	-0.0426820922811	0.00467412805547
14	stu_011381bed0	0.00577855536005	-0.0128820566058
15	stu_01258ff793	0.0170986003947	-0.0101857668849
16	stu_012a09044b	0.0211086661524	-0.0101283185344
17	stu_012a7e41b3	-0.0589584414963	0.00262576591785
18	stu_013c6d7336	-0.0353766553984	-0.00116420521132
19	stu_0142fbb2a7	-0.0379288934297	0.000289550922007
20	stu_01465b7f99	-0.118191275142	-0.00853330358673
21	stu_014b93742f	0.0998219924114	0.0123082247521
22	stu_0150713d24	0.151985207836	0.0238450154223
23	stu_016afe1722	-0.00268715407709	0.00991613948539
24	stu_01838c016b	-0.0922819583827	-0.000548519160081
25	stu_01ac1d11d5	0.039575073683	-0.00749627349564
26	stu_01baf5313c	-0.0373413660434	-0.00702537465293
27	stu_01be949a86	0.255384359438	-0.071715002944
28	stu_01d24432d7	0.0531835319958	-0.00677996411262
29	stu_01dabad56b	0.00145058876665	-0.00272349242278
30	stu_01e5e454d0	0.194288490334	0.0326257139061
31	stu_01ea677d9a	-0.08063692456	0.00139984230245
32	stu_021fd88c46	-0.0134704748807	0.0483842054818
33	stu_023b0c216a	0.202390424797	-0.0330614443988
34	stu_0241c49d30	-0.0778211986238	-0.00161599714832
35	stu_02480505de	-0.00225838488491	-0.00724238737378
36	stu_026f9588c7	-0.114331798851	0.0209592603458
37	stu_02772e485d	0.513944720308	-0.0741805999957
38	stu_02796354f3	-0.0679965972839	-0.00687060138416
39	stu_028f59c721	-0.0480479282884	0.00491398763106
40	stu_02aba1d0a6	-0.043113644376	-0.00247401359679
41	stu_02ad1ba148	-0.0365437560436	0.000207957594865
42	stu_02ce28c7cd	-0.10564641682	-0.00445488136117
43	stu_030174a230	-0.0547802513561	0.00222374203779
44	stu_030938802a	0.0294974464033	-0.025702770827
45	stu_03240aa55e	-0.0748190604703	0.00069907518301
46	stu_032593f3d2	0.0102841228631	0.0366023971688
47	stu_0339e89990	-0.049390798709	0.0070383616701
48	stu_0349055cd7	0.0829826472626	-0.00746452096177
49	stu_0368946add	-0.0889827807444	0.00478085591593
50	stu_037d7de462	0.115175327693	0.0237991422313
