Students	Incorrects	Problem View	Correct First Attempt	Step Duration (sec)	Error Step Duration (sec)	Corrects	Correct Step Duration (sec)	Hints
stu_000d56dbbb	-0.125818173568	-0.277413771042	0.622917753567	-0.0940599075758	-0.124660480328	-0.110773939234	-0.0764327013035	-0.295017812369
stu_0018382601	0.248178496595	-0.417738565429	-0.089104731489	-0.0928332472985	-0.0935846868736	-0.40571222996	-0.0894002452693	0.13130998081
stu_002821e04e	-0.107125454859	-0.42475652306	0.0127885871274	-0.107946670172	-0.124660480328	-0.767179920189	-0.100096840638	-0.409576560012
stu_003f10a343	0.167759616332	-0.0230142536936	0.139281090191	-0.107946670172	-0.124660480328	-0.17979492344	-0.100096840638	-0.528998270735
stu_004a3f900a	0.289273432383	-0.169826339236	0.136044398359	-0.107946670172	-0.124660480328	0.392009569365	-0.100096840638	0.146625805912
stu_005356c317	-0.178228589451	-0.738723170556	-0.99481764717	-0.107946670172	-0.124660480328	-0.767179920189	-0.100096840638	1.42862336454
stu_006f0c70e8	-0.244096042847	-0.613937026438	0.0654357295119	-0.107946670172	-0.124660480328	-0.199972464614	-0.100096840638	-0.0174612811611
stu_0093565412	-0.0350863296544	-0.444056163877	0.205677283295	-0.025576468261	0.0591509383349	-0.145058846333	-0.0349937072254	-0.365943886624
stu_009a841e6b	-0.757992609947	-0.157139672806	0.785286700083	-0.107946670172	-0.124660480328	-0.688267959644	-0.100096840638	-0.457162347657
stu_00ae9c94a7	-0.955423427659	-0.391535014917	1.10230975447	-0.107946670172	-0.124660480328	-0.416486229604	-0.100096840638	-0.685194061126
stu_00eb9c4fe6	0.497751587641	-0.424014285128	-1.00618001534	-0.107946670172	-0.124660480328	-0.767179920189	-0.100096840638	0.974677784698
stu_00f8350558	-0.477519443928	0.0900021208369	-0.990690666452	-0.107946670172	-0.124660480328	-0.429456243605	-0.100096840638	1.43198825782
stu_0105952e3f	0.0124493550689	0.115886291672	0.187962796894	-0.107946670172	-0.124660480328	1.32451311426	-0.100096840638	-0.235637890552
stu_010770adfb	-0.12083259632	0.630995618554	0.326894979957	-0.107946670172	-0.124660480328	0.279829941235	-0.100096840638	-0.479656639909
stu_011381bed0	-0.154088519199	-0.415387636292	-0.098588845002	-0.107946670172	-0.124660480328	0.212620772496	-0.100096840638	0.14442971254
stu_01258ff793	0.063731438844	-0.337266894052	-0.127981497811	-0.107946670172	-0.124660480328	0.405901865022	-0.100096840638	0.193125172754
