	Incorrects	Problem View	Correct First Attempt	Step Duration (sec)	Error Step Duration (sec)	Corrects	Correct Step Duration (sec)	Hints
stu_000d56dbbb	0.0857599821982	0.0204138656509	0.901464472971	0.000648392299784	0.00875149048822	0.0379678177469	0.0211947501208	0.0347134333755
stu_0018382601	0.112224979322	0.0142042122098	0.834799608993	0.000705666777748	0.0100291045316	0.0209080047748	0.0207486254507	0.0673509286415
stu_002821e04e	0.0870827285922	0.0138936535167	0.844339622642	0.0	0.00875149048822	0.0	0.0203806286201	0.0259433962264
stu_003f10a343	0.106534325889	0.0316715542527	0.856182795699	0.0	0.00875149048822	0.0339755077664	0.0203806286201	0.0168010752688
stu_004a3f900a	0.115132966061	0.0251748251738	0.855879752431	0.0	0.00875149048822	0.0670498084272	0.0203806286201	0.0685234305925
stu_005356c317	0.0820512820512	0.0	0.75	0.0	0.00875149048822	0.0	0.0203806286201	0.166666666666
stu_006f0c70e8	0.0773903262092	0.00552203701854	0.849268841395	0.0	0.00875149048822	0.0328083989525	0.0203806286201	0.0559617547805
stu_0093565412	0.0921804083136	0.0130396057233	0.862399303288	0.00384597952777	0.0163084994559	0.0359847110386	0.0226203830401	0.0292836925756
stu_009a841e6b	0.0410256410257	0.0257362355945	0.916666666667	0.0	0.00875149048822	0.00456442357774	0.0203806286201	0.0223004694835
stu_00ae9c94a7	0.0270549123008	0.0153637718465	0.946348733234	0.0	0.00875149048822	0.0202848153665	0.0203806286201	0.0048435171386
stu_00eb9c4fe6	0.129885433715	0.0139264990331	0.748936170213	0.0	0.00875149048822	0.0	0.0203806286201	0.131914893617
stu_00f8350558	0.0608726667458	0.0366727553738	0.750386398764	0.0	0.00875149048822	0.0195346041526	0.0203806286201	0.166924265843
stu_0105952e3f	0.0955441595441	0.0378181818196	0.860740740741	0.0	0.00875149048822	0.120987654316	0.0203806286201	0.0392592592593
stu_010770adfb	0.086112774878	0.0606128021017	0.873748609566	0.0	0.00875149048822	0.0605611172828	0.0203806286201	0.0205784204672
stu_011381bed0	0.0837594975001	0.0143082455367	0.833911635438	0.0	0.00875149048822	0.0566736062856	0.0203806286201	0.0683553088135
stu_01258ff793	0.0991730159161	0.0177652449785	0.831159675714	0.0	0.00875149048822	0.0678533662328	0.0203806286201	0.0720831864645
stu_012a09044b	0.0921645796064	0.0208350951382	0.829651162791	0.0	0.00875149048822	0.109657622744	0.0203806286201	0.080523255814
stu_012a7e41b3	0.0736701500746	0.00846875290253	0.88151174668	0.00158140255005	0.011080091101	0.0582605077051	0.021682265137	0.0187265917603
stu_013c6d7336	0.0841421205058	0.0223140495861	0.867998163453	0.00155422985657	0.0114706014129	0.0352642587497	0.0214443669894	0.0356978879706
stu_0142fbb2a7	0.102109684387	0.0197078428603	0.883463338534	0.0	0.00875149048822	0.0479285838107	0.0203806286201	0.0374414976599
stu_01465b7f99	0.0315076923077	0.0149610389596	0.936	0.0	0.00875149048822	0.0	0.0203806286201	0.0194285714285
stu_014b93742f	0.197592883307	0.0712430426715	0.743764172336	0.0	0.00875149048822	0.0	0.0203806286201	0.0215419501134
stu_0150713d24	0.28717948718	0.032482124617	0.762172284644	0.0	0.00875149048822	0.123803578868	0.0203806286201	0.071161048689
stu_016afe1722	0.127220337747	0.0231216862811	0.835467045993	0.0	0.00875149048822	0.0783678415327	0.0203806286201	0.0144618302513
stu_01838c016b	0.0508994667399	0.0250847772578	0.91824220746	0.00180028550589	0.0100566476686	0.0423929294635	0.0223291392041	0.0234202009879
stu_01ac1d11d5	0.103361283266	0.0635932787595	0.80663507109	0.0	0.00875149048822	0.0663507109022	0.0203806286201	0.070142180095
stu_01baf5313c	0.0601398601398	0.0502066115705	0.875811688312	0.0	0.00875149048822	0.0852272727243	0.0203806286201	0.0560064935065
stu_01be949a86	0.0952104499274	0.0308747855912	0.632075471698	0.0	0.00875149048822	0.0	0.0203806286201	0.259433962264
stu_01d24432d7	0.0979430825585	0.0292207792221	0.804487179487	0.00776634670706	0.0194669220176	0.051638176644	0.0252429571026	0.102335164835
stu_01dabad56b	0.104886501695	0.0205667649065	0.850374064838	0.000722000749248	0.00983101601158	0.0872817955132	0.0208992887232	0.0620116375725
stu_01e5e454d0	0.218547807333	0.0091758708589	0.717289719626	0.0238116072824	0.0264104071134	0.218068535823	0.0417465643736	0.140186915888
stu_01ea677d9a	0.0650425709927	0.0318269062996	0.89443378119	0.0	0.00875149048822	0.0149285562027	0.0203806286201	0.00159948816379
stu_021fd88c46	0.107213675214	0.0363636363632	0.842222222222	0.0169553430846	0.0562338731062	0.103703703696	0.0224521393739	0.0088888888889
stu_023b0c216a	0.142200812886	0.0268991282683	0.684931506849	0.00279413872179	0.0122536086819	0.0791476407938	0.0212463977239	0.186105675147
stu_0241c49d30	0.0561164036209	0.0181482103832	0.903881700555	0.0	0.00875149048822	0.0778736222438	0.0203806286201	0.0261860751695
stu_02480505de	0.101856763926	0.0	0.827586206897	0.0	0.00875149048822	0.0	0.0203806286201	0.0344827586207
stu_026f9588c7	0.040989302991	0.00942104839417	0.926483613818	0.0102071292875	0.0294066950747	0.0353065643192	0.0290337057642	0.00022143489814
stu_02772e485d	0.296832579185	0.0	0.470588235294	0.0	0.00875149048822	0.0	0.0203806286201	0.367647058823
stu_02796354f3	0.0586820119943	0.0126838461207	0.892293826048	0.0	0.00875149048822	0.0306694707275	0.0203806286201	0.0306444344299
stu_028f59c721	0.0982589427035	0.0302760942774	0.877695473251	0.0	0.00875149048822	0.0329675354358	0.0203806286201	0.0121810699589
stu_02aba1d0a6	0.0779692748197	0.00691091299635	0.860773085183	0.0	0.00875149048822	0.0361886582358	0.0203806286201	0.0187902648532
stu_02ad1ba148	0.0799474030242	0.0253433313687	0.873648439914	0.000348550150691	0.00911246272425	0.102518335441	0.020710624725	0.0406240345999
stu_02ce28c7cd	0.0404636459431	0.00896637608835	0.913242009132	0.0	0.00875149048822	0.00887874176381	0.0203806286201	0.00456621004566
stu_030174a230	0.0710221285563	0.0340442092145	0.889126712329	0.0024821012821	0.010351594087	0.0707524733605	0.0230757288012	0.0346746575342
stu_030938802a	0.0621359223301	0.0188775245323	0.824100513992	0.0	0.00875149048822	0.0910590773548	0.0203806286201	0.115933752142
stu_03240aa55e	0.0623019660241	0.0341078276552	0.885856079404	0.0	0.00875149048822	0.0192996967137	0.0203806286201	0.00248138957816
stu_032593f3d2	0.0784615384615	0.0245454545454	0.85	0.0488413129985	0.00875149048822	0.0	0.0854188111284	0.096875
stu_0339e89990	0.110702702703	0.0238820638811	0.884324324324	0.0	0.00875149048822	0.0257507507442	0.0203806286201	0.00986486486485
stu_0349055cd7	0.120037986705	0.0141414141403	0.761316872428	0.00770620350159	0.0165975789303	0.00400091449719	0.026109182663	0.0864197530865
stu_0368946add	0.0737618545839	0.0113947696145	0.91095890411	0.0	0.00875149048822	0.047723236944	0.0203806286201	0.00256849315068
stu_037d7de462	0.273272490223	0.00554699537672	0.754237288136	0.0	0.00875149048822	0.0	0.0203806286201	0.0127118644068
stu_03843d5ad3	0.109860609189	0.0472239170214	0.828859060403	0.0	0.00875149048822	0.0195749440637	0.0203806286201	0.0234899328859
stu_0388d67f58	0.346332737031	0.0799154334032	0.616279069767	0.0	0.00875149048822	0.113049095599	0.0203806286201	0.093023255814
stu_038b61b7bd	0.0992648377263	0.0354736172912	0.857808857809	0.0	0.00875149048822	0.106513856516	0.0203806286201	0.0151515151515
stu_0393efd464	0.0610601833401	0.0266015073011	0.905440414508	3.78866826494e-05	0.0088107578596	0.0346322682803	0.0204135758452	0.0124676165803
stu_03a1351aeb	0.120897284534	0.0255017709556	0.809523809524	0.00372740788222	0.0174355366386	0.0971839608242	0.0208338177077	0.111767020858
stu_03b181392f	0.0866828160945	0.0160751904054	0.862348979996	0.000161750994529	0.00912944154866	0.0404370502469	0.0204524382718	0.034660328778
stu_03b6bfdce4	0.0790618777196	0.0311987149952	0.883714559649	0.000870168187194	0.00998020387597	0.0455417066218	0.0211186272292	0.0106834680181
stu_03cf565d03	0.0676479799562	0.028391652193	0.89837143752	0.0	0.00875149048822	0.0505445940801	0.0203806286201	0.030535546508
stu_03dbafac6a	0.0629182476716	0.0246555238483	0.873542600897	0.00349880268081	0.0157070634071	0.050572994519	0.0225692235584	0.0385650224215
stu_04083934f0	0.0844569060101	0.0752053018286	0.814580031696	0.0	0.00875149048822	0.167943299882	0.0203806286201	0.104199683043
