Students	Incorrects	Problem View	Correct First Attempt	Step Duration (sec)	Error Step Duration (sec)	Corrects	Correct Step Duration (sec)	Hints
stu_000d56dbbb	0.34839992768	1.0623757006	0.901464472971	0.0360097631531	0.0	1.01952630627	0.0399458483755	0.069426866751
stu_0018382601	0.455913978495	1.04340175953	0.834799608993	0.0391906158358	0.14598816568	1.01075268817	0.018056206089	0.134701857283
stu_002821e04e	0.353773584906	1.04245283019	0.844339622642	0.0	0.0	1.0	0.0	0.0518867924528
stu_003f10a343	0.432795698925	1.09677419355	0.856182795699	0.0	0.0	1.01747311828	0.0	0.0336021505376
stu_004a3f900a	0.467727674624	1.07692307692	0.855879752431	0.0	0.0	1.03448275862	0.0	0.137046861185
stu_005356c317	0.333333333333	1.0	0.75	0.0	0.0	1.0	0.0	0.333333333333
stu_006f0c70e8	0.314398200225	1.01687289089	0.849268841395	0.0	0.0	1.01687289089	0.0	0.111923509561
stu_0093565412	0.374482908774	1.03984323971	0.862399303288	0.213594165034	0.863511075949	1.01850642282	0.109896238324	0.0585673851513
stu_009a841e6b	0.166666666667	1.07863849765	0.916666666667	0.0	0.0	1.00234741784	0.0	0.0446009389671
stu_00ae9c94a7	0.109910581222	1.04694485842	0.946348733234	0.0	0.0	1.01043219076	0.0	0.0096870342772
stu_00eb9c4fe6	0.527659574468	1.04255319149	0.748936170213	0.0	0.0	1.0	0.0	0.263829787234
stu_00f8350558	0.247295208655	1.11205564142	0.750386398764	0.0	0.0	1.01004636785	0.0	0.333848531685
stu_0105952e3f	0.388148148148	1.11555555556	0.860740740741	0.0	0.0	1.06222222222	0.0	0.0785185185185
stu_010770adfb	0.349833147942	1.1852057842	0.873748609566	0.0	0.0	1.03114571746	0.0	0.0411568409344
stu_011381bed0	0.340272958594	1.04371963914	0.833911635438	0.0	0.0	1.02914642609	0.0	0.136710617627
stu_01258ff793	0.402890377159	1.05428269299	0.831159675714	0.0	0.0	1.03489601692	0.0	0.144166372929
stu_012a09044b	0.374418604651	1.0636627907	0.829651162791	0.0	0.0	1.05639534884	0.0	0.161046511628
stu_012a7e41b3	0.299284984678	1.02587674498	0.88151174668	0.0878263534219	0.26608045977	1.02996254682	0.0638663576671	0.0374531835206
stu_013c6d7336	0.341827364555	1.06818181818	0.867998163453	0.0863172635445	0.310702608696	1.0181359045	0.0521935995768	0.0713957759412
stu_0142fbb2a7	0.414820592824	1.06021840874	0.883463338534	0.0	0.0	1.02464898596	0.0	0.0748829953198
stu_01465b7f99	0.128	1.04571428571	0.936	0.0	0.0	1.0	0.0	0.0388571428571
stu_014b93742f	0.802721088435	1.21768707483	0.743764172336	0.0	0.0	1.0	0.0	0.0430839002268
stu_0150713d24	1.16666666667	1.09925093633	0.762172284644	0.0	0.0	1.06367041199	0.0	0.142322097378
stu_016afe1722	0.516832622096	1.07064959697	0.835467045993	0.0	0.0	1.04030346136	0.0	0.0289236605026
stu_01838c016b	0.206779083631	1.07664793051	0.91824220746	0.0999824561404	0.149135416667	1.02180207801	0.0956060100167	0.0468404019758
stu_01ac1d11d5	0.41990521327	1.19431279621	0.80663507109	0.0	0.0	1.03412322275	0.0	0.14028436019
stu_01baf5313c	0.244318181818	1.15340909091	0.875811688312	0.0	0.0	1.04383116883	0.0	0.112012987013
stu_01be949a86	0.38679245283	1.09433962264	0.632075471698	0.0	0.0	1.0	0.0	0.518867924528
stu_01d24432d7	0.397893772894	1.08928571429	0.804487179487	0.43131959707	1.22441217799	1.02655677656	0.238575981787	0.20467032967
stu_01dabad56b	0.426101413134	1.06284289277	0.850374064838	0.040097755611	0.123353333333	1.04488778055	0.0254486803519	0.124023275145
stu_01e5e454d0	0.88785046729	1.02803738318	0.717289719626	1.32242523364	2.01781818182	1.11214953271	1.04834527687	0.280373831776
stu_01ea677d9a	0.264235444658	1.09724888036	0.89443378119	0.0	0.0	1.00767754319	0.0	0.00319897632758
stu_021fd88c46	0.435555555556	1.11111111111	0.842222222222	0.941648888889	5.42563380282	1.05333333333	0.10164116095	0.0177777777778
stu_023b0c216a	0.577690802348	1.08219178082	0.684931506849	0.155178082192	0.400173913043	1.04070450098	0.04248	0.372211350294
stu_0241c49d30	0.22797288971	1.05545286506	0.903881700555	0.0	0.0	1.04004929144	0.0	0.0523721503389
